
alpha-ent            | 715.5m / 17.9b  (4% full)   | 63.0 / 21 ( 28.3%) | 24.3s/growth (55 over 1336s)

n00dles              |   1.1m / 1.8m   (62% full)  | 1.1 / 1  (100.0%) | 0s/growth (3000 over 7s)
foodnstuff           |  50.0m / 50.0m  (100% full) | 3.0 / 3  (100.0%) | 1.5s/growth (5 over 7s)
sigma-cosmetics      |  57.5m / 57.5m  (100% full) | 3.0 / 3  (100.0%) | 0.8s/growth (10 over 8s)
joesguns             |  48.3m / 62.5m  (77% full)  | 8.7 / 5  (100.0%) | 0.5s/growth (20 over 11s)
nectar-net           |  40.3m / 68.8m  (58% full)  | 10.4 / 7  (100.0%) | 0.6s/growth (25 over 15s)
hong-fang-tea        |  33.4m / 75.0m  (44% full)  | 5.2 / 5  (100.0%) | 0.6s/growth (20 over 13s)
harakiri-sushi       |  75.6m / 100.0m (75% full)  | 7.2 / 5  (100.0%) | 0.4s/growth (40 over 18s)
neo-net              |  95.0m / 125.0m (76% full)  | 14.0 / 8  (100.0%) | 1.3s/growth (25 over 34s)
zer0                 | 137.8m / 187.5m (73% full)  | 11.4 / 8  (100.0%) | 1s/growth (40 over 40s)
max-hardware         |  97.6m / 250.0m (39% full)  | 5.2 / 5  (100.0%) | 0.7s/growth (30 over 23s)
iron-gym             | 103.2m / 500.0m (20% full)  | 10.0 / 10 (100.0%) | 2.3s/growth (20 over 46s)
phantasy             | 304.9m / 600.0m (50% full)  | 7.0 / 7  (100.0%) | 0.9s/growth (35 over 34s)
crush-fitness        |   1.0b / 1.0b   (100% full) | 12.0 / 12 (100.0%) | 3.7s/growth (32 over 119s)
silver-helix         |   1.1b / 1.1b   (100% full) | 13.3 / 10 (100.0%) | 2.8s/growth (30 over 84s)
omega-net            |   1.3b / 1.7b   (79% full)  | 15.9 / 11 (100.0%) | 4.5s/growth (30 over 135s)
johnson-ortho        | 833.1m / 1.8b   (46% full)  | 17.7 / 17 (100.0%) | 3s/growth (65 over 198s)
the-hub              |   3.7b / 4.9b   (76% full)  | 15.4 / 15 (100.0%) | 3.5s/growth (50 over 177s)
computek             |   2.5b / 5.6b   (44% full)  | 20.5 / 19 ( 90.9%) | 4.5s/growth (60 over 272s)
summit-uni           |   4.1b / 5.7b   (72% full)  | 22.6 / 19 ( 75.7%) | 7.5s/growth (50 over 379s)
rothman-uni          |   2.3b / 5.8b   (39% full)  | 16.0 / 16 ( 87.4%) | 6s/growth (41 over 249s)
millenium-fitness    |   9.2m / 6.3b   (0% full)   | 27.4 / 16 ( 62.1%) | 12s/growth (44 over 531s)
aevum-police         |   5.1b / 6.7b   (75% full)  | 31.9 / 25 ( 69.6%) | 13.9s/growth (36 over 503s)
netlink              |   6.9b / 6.9b   (100% full) | 21.0 / 21 ( 81.5%) | 6.1s/growth (54 over 329s)
catalyst             |  11.5b / 11.5b  (100% full) | 23.0 / 23 ( 78.1%) | 11.9s/growth (31 over 368s)
syscore              | 588.5m / 14.7b  (4% full)   | 79.0 / 26 ( 15.8%) | 26s/growth (65 over 1692s)
rho-construction     |  10.2b / 17.4b  (58% full)  | 23.7 / 17 ( 66.9%) | 10.2s/growth (44 over 449s)
alpha-ent            | 715.5m / 17.9b  (4% full)   | 63.0 / 21 ( 28.3%) | 24.3s/growth (55 over 1336s)

n00dles              |   1.1m / 1.8m   (62% full)  | 1.1 / 1  (100.0%) | 0s/growth (3000 over 7s)
